CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;10.3937;76.7979;151.748;104.644;252.444;2097.48;1878.57;462.5
00:00;9.87657;71.9915;128.843;86.305;205.932;1685.8;1954.45;386.6
01:00;8.8063;63.3176;95.6052;70.404;97.6633;1160.03;1966.38;212.6
02:00;8.18052;40.8898;102.663;83.3936;26.4021;910.47;1909.54;81.2
03:00;7.58016;37.6255;87.3665;70.6104;20.0743;772.671;1730.69;68.3
04:00;6.83701;35.1907;76.3697;59.4965;19.0161;673.665;1559.79;64.2
05:00;6.7809;44.9241;96.3027;67.1971;48.5859;827.96;1342.69;119.2
06:00;6.32857;46.479;110.526;69.7274;64.5243;830.04;1119.76;145.1
07:00;5.82913;68.2341;93.708;63.3626;188.921;1056.66;989.662;356.8
08:00;5.76981;95.8137;90.4941;61.419;374.066;1603.45;979.368;669.548
09:00;5.88853;83.478;87.0559;62.7956;276.792;1494.15;1021.13;507.996
10:00;6.07234;86.2848;95.7483;69.8551;255.065;1643.23;1112.73;477.634
11:00;5.945;89.1904;80.8985;60.8429;259.889;1368.2;1187.17;487.846
12:00;5.97553;89.7346;88.2677;67.8866;239.566;1322.89;1268.32;457.196
13:00;5.61876;73.8896;78.6591;64.1413;164.991;1032.95;1293.95;327.003
14:00;5.24298;78.1848;76.2152;62.1779;167.703;1007.72;1316.16;335.487
15:00;4.29671;62.4977;65.2167;41.7047;120.575;707.889;1272.56;247.385
16:00;3.93409;75.4158;99.3366;42.1977;177.027;984.1;1195.14;346.997
17:00;4.06165;81.5119;79.3524;39.9931;204.34;1253.53;1165.06;394.928
18:00;4.3455;89.6639;94.9977;51.2991;220.966;1623.81;1162.64;428.518
19:00;3.86515;61.3377;86.8295;50.1962;117.858;917.31;1106.27;242.083
20:00;3.47882;54.5471;66.9085;48.13;84.1431;778.662;1038.25;183.61
21:00;3.48227;57.3921;62.6781;52.0241;77.0563;756.657;1003.71;175.662
22:00;3.43356;50.5468;72.9352;61.459;69.9321;814.46;979.552;157.869
23:00;3.30591;46.3982;76.6233;57.5626;51.3445;691.43;977.495;125.086
00:00;3.02281;40.0837;68.1422;54.014;39.8732;625.896;932.719;101.252
