CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;36;322;258;102;2990;191
01:00;39;175;140;120;2540;222
02:00;35;169;135;96;2590;182
03:00;30;194;152;82;2610;155
04:00;28;257;164;74;2560;141
05:00;27;186;142;61;2550;120
06:00;29;197;146;82;2530;154
07:00;28;202;148;90;2690;166
08:00;29;176;141;113;2840;201
09:00;29;164;132;105;2760;189
10:00;47;173;135;194;2920;343
11:00;54;194;152;163;3010;304
12:00;57;196;156;122;3010;243
13:00;60;217;169;125;2770;251
14:00;65;237;188;110;2730;232
15:00;66;218;174;146;2840;289
16:00;70;221;175;199;3000;374
17:00;66;247;196;210;2870;386
18:00;63;228;184;225;2880;406
19:00;61;225;180;178;2950;333
20:00;51;247;198;152;2710;282
21:00;52;294;235;185;3220;334
22:00;48;311;248;201;3390;355
23:00;43;304;243;144;3040;263
