CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;85;105;1390;245
01:00;59;40;790;120
02:00;47;56;930;132
03:00;40;38;740;98
04:00;34;36;710;90
05:00;32;47;600;104
06:00;38;107;780;202
07:00;44;135;1080;250
08:00;69;178;1450;340
09:00;99;174;1370;365
10:00;111;172;1530;375
11:00;92;92;1060;233
12:00;90;63;840;186
13:00;83;51;780;161
14:00;88;58;770;177
15:00;103;76;910;219
16:00;101;69;990;207
17:00;109;84;1100;237
18:00;131;105;1340;290
19:00;112;77;1270;230
20:00;128;119;1480;311
21:00;140;225;2180;484
22:00;114;171;1850;377
23:00;91;112;1560;261
