CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;68;92;1440;209
01:00;45;19;740;73
02:00;41;15;690;65
03:00;41;14;670;63
04:00;45;19;670;74
05:00;51;27;630;94
06:00;77;95;850;222
07:00;109;244;1440;482
08:00;100;169;1180;358
09:00;85;103;840;244
10:00;90;114;840;264
11:00;59;59;580;151
12:00;46;40;440;108
13:00;42;40;410;103
14:00;49;46;430;119
15:00;55;53;510;135
16:00;64;63;620;161
17:00;66;74;590;179
18:00;74;80;750;196
19:00;96;155;1340;333
20:00;115;251;1810;499
21:00;92;158;1500;334
22:00;86;132;1480;287
23:00;71;82;1260;196
