CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;81;214;187;171;3060;341
01:00;50;136;118;46;1960;119
02:00;38;142;119;19;1740;68
03:00;42;134;115;36;1740;97
04:00;45;140;120;47;1820;116
05:00;41;150;129;34;1810;92
06:00;42;135;117;58;1870;129
07:00;63;123;106;169;2240;320
08:00;75;119;100;268;2540;484
09:00;73;130;108;214;2370;400
10:00;79;145;112;201;2310;384
11:00;75;152;117;145;2270;296
12:00;69;240;132;109;2070;235
13:00;78;224;130;117;2570;257
14:00;91;225;135;129;2220;288
15:00;110;217;134;175;2540;376
16:00;111;180;127;165;2820;362
17:00;108;154;119;162;2470;355
18:00;113;150;122;203;2530;423
19:00;117;171;137;266;2770;524
20:00;110;168;138;250;2880;492
21:00;111;171;141;258;2920;505
22:00;97;162;138;184;2560;377
23:00;88;178;154;196;2730;386
