CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;79;76;59;950;136
01:00;27;48;46;15;620;51
02:00;25;48;47;12;590;42
03:00;25;54;52;11;560;41
04:00;38;91;81;18;920;66
05:00;43;109;91;27;1030;83
06:00;46;109;93;46;950;115
07:00;51;103;91;65;970;150
08:00;70;118;102;171;1480;331
09:00;80;107;93;196;1740;379
10:00;70;110;93;152;1510;303
11:00;72;105;88;171;1540;333
12:00;72;99;83;159;1680;314
13:00;75;94;78;201;1690;381
14:00;69;88;77;170;1610;329
15:00;75;112;90;170;1880;335
16:00;68;111;97;154;1890;302
17:00;70;90;80;167;1720;326
18:00;66;80;69;162;1880;315
19:00;72;89;71;165;1910;324
20:00;65;76;61;131;1480;264
21:00;76;74;64;191;1900;367
22:00;65;98;84;122;1530;250
23:00;49;79;74;56;960;135
