CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;51;29;41;770;127
01:00;43;38;27;21;550;72
02:00;27;19;13;12;270;47
03:00;24;18;13;10;300;41
04:00;28;18;13;15;230;52
05:00;36;19;14;25;270;76
06:00;42;24;16;58;410;131
07:00;67;33;22;131;800;269
08:00;74;44;25;147;850;301
09:00;82;61;26;146;710;307
10:00;90;71;30;167;810;347
11:00;76;47;24;88;620;211
12:00;68;41;22;76;550;185
13:00;;59;25;;650;
14:00;;51;24;;;
15:00;68;48;24;69;;171
16:00;74;40;18;75;770;187
17:00;79;38;19;73;780;190
18:00;96;60;25;127;970;289
19:00;91;46;22;111;930;259
20:00;101;52;25;133;1050;303
21:00;98;47;25;121;1060;281
22:00;93;43;24;93;970;234
23:00;79;50;29;56;830;163
