CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;120;68;1670;143
01:00;54;211;114;2590;227
02:00;51;192;69;1970;156
03:00;44;159;51;1450;122
04:00;40;121;25;1220;77
05:00;44;94;40;1140;104
06:00;54;90;138;1660;265
07:00;73;92;325;2830;568
08:00;81;78;289;3250;522
09:00;77;79;264;3190;478
10:00;80;166;211;2370;401
11:00;76;230;193;2060;369
12:00;77;189;153;1780;309
13:00;59;177;97;1340;205
14:00;62;116;106;1480;223
15:00;57;101;108;1530;220
16:00;55;101;132;1720;254
17:00;61;92;142;1930;277
18:00;66;90;251;3120;449
19:00;69;118;203;2700;378
20:00;60;112;186;2300;343
21:00;51;106;147;1990;274
22:00;45;57;106;1630;206
23:00;44;85;96;1610;190
