CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;128;1210
01:00;;1390
02:00;;1300
03:00;;1140
04:00;;1200
05:00;;1490
06:00;;2100
07:00;;2200
08:00;;1720
09:00;;1820
10:00;;1960
11:00;;
12:00;;
13:00;86;1620
14:00;67;2040
15:00;82;2300
16:00;97;2370
17:00;98;2670
18:00;95;2060
19:00;92;2090
20:00;95;2300
21:00;96;2110
22:00;118;1770
23:00;143;1830
