CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;52;50;36;94;910;195
01:00;36;47;36;36;640;92
02:00;31;;;12;670;50
03:00;38;;;12;710;57
04:00;44;;;12;570;61
05:00;35;;;23;430;70
06:00;41;;;66;520;142
07:00;66;36;23;149;900;293
08:00;71;51;33;186;1000;354
09:00;79;53;34;196;1080;379
10:00;66;43;28;169;910;323
11:00;73;43;28;192;1030;367
12:00;73;53;34;187;1090;358
13:00;66;51;31;149;950;294
14:00;62;64;42;131;800;262
15:00;72;66;49;176;1220;339
16:00;72;59;44;158;1130;313
17:00;87;66;51;264;1690;490
18:00;83;66;49;227;1490;430
19:00;71;47;34;164;1230;322
20:00;64;44;34;130;1110;261
21:00;54;50;37;85;850;183
22:00;56;55;40;94;1010;200
23:00;44;52;38;76;870;160
