CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;176;1800;328
01:00;50;144;1700;270
02:00;43;53;690;124
03:00;40;39;560;100
04:00;37;32;490;86
05:00;39;44;450;107
06:00;44;68;570;147
07:00;51;125;920;242
08:00;58;173;1270;323
09:00;65;153;1320;299
10:00;63;144;1020;282
11:00;66;126;1020;259
12:00;55;87;710;188
13:00;62;88;780;195
14:00;65;90;800;201
15:00;65;80;800;187
16:00;69;92;700;208
17:00;70;82;800;193
18:00;88;152;1170;320
19:00;90;206;1630;404
20:00;89;199;1870;392
21:00;90;239;2090;454
22:00;81;249;2020;462
23:00;82;336;2420;596
