CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;56;47;24;92
01:00;52;41;14;73
02:00;30;42;17;55
03:00;37;44;12;54
04:00;35;27;13;55
05:00;26;24;11;43
06:00;33;29;23;67
07:00;56;28;39;115
08:00;53;24;48;125
09:00;51;24;43;115
10:00;57;37;49;131
11:00;80;29;65;180
12:00;71;21;50;146
13:00;71;41;40;131
14:00;74;56;37;129
15:00;72;63;37;127
16:00;62;60;28;105
17:00;76;50;38;133
18:00;84;40;57;170
19:00;81;54;52;159
20:00;95;32;93;237
21:00;77;39;58;166
22:00;71;39;55;154
23:00;53;33;33;103
