CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;78;143;112;1380;248
01:00;56;83;31;950;103
02:00;51;84;25;860;89
03:00;53;81;33;780;104
04:00;49;76;26;730;88
05:00;51;72;35;540;105
06:00;53;68;36;530;108
07:00;65;71;53;660;145
08:00;81;70;94;1080;222
09:00;89;59;127;1660;281
10:00;98;75;148;1870;324
11:00;100;95;138;1750;310
12:00;105;100;140;1790;317
13:00;105;108;147;1700;328
14:00;114;103;179;2140;386
15:00;106;110;156;2200;344
16:00;108;123;170;1880;366
17:00;106;116;176;2110;373
18:00;106;124;179;2190;378
19:00;100;154;177;2190;368
20:00;99;177;173;2250;361
21:00;92;167;137;2050;300
22:00;93;145;157;2090;332
23:00;86;137;155;2030;321
