CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;48.2825;165.331;111.653;89.006;1738.14;1567.32;184.973
01:00;50.6855;125.389;97.8466;100.214;1541.88;1741.47;204.278
02:00;46.5709;121.323;90.6712;61.5931;1294.16;1659.3;141.044
03:00;44.9125;122.955;95.8893;47.0334;1299.29;1584.81;117.066
04:00;43.5165;124.213;99.0186;37.9552;1248.05;1517.85;101.74
05:00;42.9607;113.438;90.8692;33.1681;1177.17;1444.16;93.8204
06:00;40.9021;98.2146;78.5674;48.8706;1028.48;1351.25;115.889
07:00;45.8955;94.8631;76.3313;93.3501;1233.78;1297.95;189.031
08:00;49.5584;84.5543;67.3666;151.585;1290.43;1264.16;281.982
09:00;51.2041;94.0728;67.6184;152.128;1285.99;1232.17;284.609
10:00;56.5313;98.6799;57.0696;125.522;1053.15;1202.04;249.083
11:00;63.9569;104.38;57.2686;134.117;989.7;1163.34;269.589
12:00;69.9749;92.1453;50.5851;139.103;1000.79;1132.44;283.38
13:00;62.1231;92.8357;47.1159;105.623;797.36;1084.96;224.128
14:00;60.8164;103.569;44.7686;100.396;903.5;1069.34;214.867
15:00;77.4297;132.422;58.1782;164.94;1216.93;1067.23;330.863
16:00;83.0423;137.111;53.488;220.79;1496.55;1093;421.468
17:00;79.6897;102.348;43.7016;186.919;1228.86;1085.86;366.472
18:00;78.0892;117.681;49.5546;187.87;1276.46;1113.77;366.516
19:00;86.3863;112.02;59.7738;242.851;1495.61;1177.01;458.809
20:00;86.6392;115.238;63.1794;261.931;1645.1;1257.55;488.502
21:00;79.8848;111.452;61.8355;225.251;1629.17;1361.52;425.246
22:00;67.7175;133.045;85.3333;133.515;1477.68;1433.3;272.582
23:00;52.7834;167.425;119.448;114.855;2047.55;1537.12;228.945
