CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;54;51;64;151
01:00;43;42;44;109
02:00;20;43;26;59
03:00;16;29;15;39
04:00;18;17;23;53
05:00;19;12;23;53
06:00;33;10;64;131
07:00;46;13;110;214
08:00;49;18;135;255
09:00;50;29;150;279
10:00;50;29;146;272
11:00;59;33;154;294
12:00;52;39;115;226
13:00;52;39;95;197
14:00;54;55;106;215
15:00;61;61;98;210
16:00;69;71;102;224
17:00;72;65;103;229
18:00;80;54;125;270
19:00;78;57;137;286
20:00;80;58;143;297
21:00;76;56;138;285
22:00;70;66;118;248
23:00;65;57;100;217
