CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;77;69;46;90;213
01:00;68;74;46;70;175
02:00;55;63;27;29;99
03:00;43;44;21;19;72
04:00;42;29;16;25;79
05:00;48;30;19;30;92
06:00;63;46;29;88;197
07:00;68;52;32;141;283
08:00;85;79;43;209;403
09:00;77;91;37;147;300
10:00;81;81;35;142;296
11:00;78;54;22;108;242
12:00;95;79;26;137;302
13:00;107;60;17;119;287
14:00;102;51;15;80;223
15:00;;;;;
16:00;;;;;
17:00;105;44;15;77;221
18:00;99;38;15;69;204
19:00;99;39;16;70;204
20:00;94;42;19;71;202
21:00;104;52;27;90;240
22:00;97;62;35;100;249
23:00;92;75;47;130;290
