CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;54;28;24;38;111
01:00;38;26;23;23;73
02:00;32;31;30;21;64
03:00;30;22;21;13;50
04:00;27;17;15;13;45
05:00;45;19;18;34;96
06:00;46;21;20;64;143
07:00;64;31;29;106;224
08:00;65;30;28;117;243
09:00;61;25;21;86;191
10:00;58;20;16;67;160
11:00;56;21;13;53;136
12:00;58;18;11;47;129
13:00;62;13;8;53;143
14:00;69;14;7;53;149
15:00;;16;11;;
16:00;;15;11;;
17:00;;;;;
18:00;80;11;7;66;181
19:00;57;24;13;42;121
20:00;81;23;18;82;206
21:00;81;28;22;79;200
22:00;72;27;22;70;178
23:00;60;26;22;49;134
