CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
23:00;67.8277;149.238;172.096;331.701
00:00;63.5219;152.5;223.672;406.451
01:00;55.1219;198.094;183.984;337.219
02:00;49.1628;182.947;130.73;249.599
03:00;40.809;147.187;125.283;232.904
04:00;34.8903;153.682;111.178;205.355
05:00;36.2297;147.053;122.935;224.716
06:00;37.6266;145.908;154.012;273.752
07:00;45.6124;170.018;185.398;329.951
08:00;42.9849;140.009;145.958;266.777
09:00;55.2892;182.262;205.711;370.701
10:00;55.431;168.392;178.786;329.378
11:00;66.3745;168.48;182.49;346.166
12:00;61.158;136.445;109.001;228.284
13:00;58.7409;89.7599;53.6428;140.99
14:00;49.8618;82.421;35.835;104.813
15:00;69.48;99.7569;74.9967;184.472
16:00;90.5104;122.171;120.249;274.947
17:00;85.7527;113.358;79.1156;207.052
18:00;81.6567;105.679;67.9948;185.913
19:00;70.4083;77.0906;37.5593;127.999
20:00;56.5049;58.9666;33.8886;108.466
21:00;53.1759;50.7414;20.9392;85.2752
22:00;45.7324;45.8517;21.7328;79.0522
23:00;39.5157;43.6319;19.0552;68.7327
00:00;31.5098;27.6669;9.23161;45.6633
