CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;51.5666;79.09;34.0538;103.786
01:00;12.3706;5.677;2.53141;16.2499
02:00;14.6677;10.05;3.86085;20.5843
03:00;24.9118;14.07;8.82772;38.4514
04:00;52.5954;26.8;50.9095;130.644
05:00;57.1869;19.2;67.9182;161.324
06:00;43.7391;18.7462;25.9168;83.4827
07:00;22.9982;17.39;9.50872;37.5782
08:00;31.9809;16.4863;14.0461;53.5201
09:00;44.957;32.86;37.9005;103.072
10:00;36.8028;30.3812;21.6864;70.0429
11:00;30.6717;37.87;17.591;57.6495
12:00;33.3086;41.31;19.378;63.0264
13:00;29.8474;30.5498;15.4611;53.6693
14:00;30.9282;27.0097;13.2071;51.1715
15:00;57.9814;44.54;44.4597;126.138
16:00;54.9583;43.73;29.3447;99.9551
17:00;74.6046;75.8605;65.1221;174.304
18:00;90.6272;125.346;154.141;327.025
19:00;91.3501;141.38;165.802;345.58
20:00;70.2835;99.0291;81.5348;195.386
21:00;63.0445;81.05;46.9942;135.061
22:00;62.4741;93.97;55.4472;147.47
23:00;56.6154;78.61;41.5061;120.251
