CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;30.9112;101.9;15.5542;54.6
01:00;32.018;105.5;9.39095;46.3
02:00;31.8481;98.17;7.72967;43.5
03:00;29.7709;74.45;5.19964;37.7
04:00;29.7465;;5.17574;37.6
05:00;;;;
06:00;;;;
07:00;;;;
08:00;;;;
09:00;;;;
10:00;;;;
11:00;;;;
12:00;;;;
13:00;35.139;93.11;43.4748;101.2
14:00;60.7453;119.9;81.0689;184
15:00;56.5947;130.2;65.4627;156.2
16:00;54.0618;99.79;64.4803;152.1
17:00;56.6223;113.3;61.1363;149.5
18:00;50.0142;114.4;36.79;105.9
19:00;44.813;111.4;32.1643;93.7
20:00;48.6429;133.2;49.0265;123.1
21:00;43.3695;114;26.4167;83.5
22:00;38.7552;108.2;21.8076;71.9
23:00;34.3836;97.15;15.1472;57.4
