CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;22.2764;30.57;5.23913;30.2
01:00;27.6555;43.15;6.84464;38
02:00;13.6963;16.86;5.6735;22.4
03:00;15.7724;23.18;6.28834;25.4
04:00;11.856;13.51;4.33714;18.4
05:00;19.4551;13.47;5.89208;28.5
06:00;10.644;9.355;2.74132;14.7
07:00;9.80803;7.707;3.99317;15.9
08:00;9.6248;6.236;2.88646;14
09:00;12.2379;6.151;3.42613;17.4
10:00;13.6867;8.395;5.27931;21.8
11:00;19.2443;19.89;8.53294;32.1
12:00;16.5834;27.2;7.93508;28.6
13:00;17.967;29.23;8.42314;30.8
14:00;21.0447;35.3;10.0027;36.2
15:00;21.7856;30.09;10.1849;37.3
16:00;22.1622;29.68;8.00816;34.4
17:00;31.3823;24.5;14.4392;53.3
18:00;37.9442;37.03;12.8354;57.4
19:00;32.991;41.58;10.7374;49.3
20:00;34.3719;37.98;11.78;52.3
21:00;31.087;44.17;12.8257;50.6
22:00;33.7776;47.65;9.91919;48.9
23:00;31.7296;35.2;8.84781;45.1
