CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.9;43;21;86;66;9;860;57
01:00;17.7;18;13;364;300;112;3700;189
02:00;17.7;18;12;314;261;103;3340;175
03:00;16.9;17;13;254;212;69;3020;122
04:00;15.3;15;10;241;203;65;2960;113
05:00;14.3;15;11;234;197;56;2890;100
06:00;13.3;16;10;212;178;55;2720;100
07:00;12.2;20;13;187;156;91;2620;159
08:00;11.2;15;12;179;150;79;2480;135
09:00;10.6;18;10;182;153;96;2490;164
10:00;10.3;21;16;177;141;63;2340;117
11:00;9.6;37;26;167;127;51;1950;114
12:00;9.1;53;26;135;99;57;1720;139
13:00;8.1;52;24;109;82;28;1220;93
14:00;7;37;20;75;54;15;830;59
15:00;5.4;20;14;25;14;7;360;31
16:00;4;29;14;31;18;9;430;42
17:00;3.4;50;16;49;29;21;650;81
18:00;3.1;44;18;50;33;14;610;64
19:00;2.9;52;22;69;48;20;780;83
20:00;2.9;44;22;67;47;16;720;67
21:00;2.9;45;23;79;56;17;780;70
22:00;2.9;43;19;68;49;11;720;59
23:00;2.9;39;24;80;59;12;790;57
