CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;2;24;13;4;390;38
01:00;22;1;24;13;4;330;27
02:00;13;3;22;12;2;270;15
03:00;13;4;27;15;2;250;16
04:00;16;2;36;17;2;230;20
05:00;23;2;38;19;6;270;30
06:00;27;2;45;22;7;280;38
07:00;22;3;35;12;4;210;28
08:00;19;2;21;7;4;220;26
09:00;15;2;18;4;3;250;20
10:00;24;4;61;12;6;570;32
11:00;24;8;77;14;5;540;32
12:00;14;13;33;6;3;340;18
13:00;14;14;21;4;3;330;19
14:00;9;7;17;3;2;;11
15:00;9;7;19;3;2;160;11
16:00;20;6;31;7;5;;27
17:00;46;7;41;16;9;540;60
18:00;56;7;40;18;16;680;82
19:00;56;6;40;19;14;640;78
20:00;24;5;27;12;4;340;31
21:00;32;3;13;7;3;370;38
22:00;26;2;16;9;3;330;30
23:00;40;2;20;11;7;420;51
