CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;13.8;25;5;187;2500;311
01:00;7.4;12;3;96;1700;158
02:00;6.4;12;3;74;1500;124
03:00;5.7;9;3;64;1350;106
04:00;4.7;10;2;51;1150;88
05:00;4;11;3;52;1010;89
06:00;3.5;11;3;59;920;102
07:00;3.4;14;3;134;1230;218
08:00;3.9;18;3;186;1250;302
09:00;4.2;25;4;185;1270;307
10:00;5.4;49;6;245;2040;423
11:00;8.7;;10;;1520;
12:00;11.6;70;;130;1400;269
13:00;10.6;70;;72;1080;180
14:00;8.8;67;14;53;990;148
15:00;7.2;45;8;18;630;72
16:00;2;35;4;47;430;107
17:00;1.9;36;4;114;;210
18:00;4.9;40;5;301;2050;501
19:00;8.5;41;5;416;2960;676
20:00;11.4;32;6;357;3100;578
21:00;15.7;25;6;263;2990;428
22:00;15.9;21;4;232;2710;376
23:00;16.4;21;5;216;2820;350
