CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.5;26;14;69;50;6;510;33
01:00;10.9;38;25;113;88;22;980;71
02:00;9.4;34;19;91;71;11;710;51
03:00;8.6;32;17;81;63;12;640;50
04:00;7.8;30;12;67;52;8;480;42
05:00;7;28;13;57;44;9;360;43
06:00;6.2;26;16;38;29;7;270;36
07:00;4.7;31;17;40;31;14;280;52
08:00;4.7;35;16;51;34;23;300;70
09:00;4.7;37;16;70;39;27;380;78
10:00;3.9;34;17;79;44;23;330;70
11:00;3.1;29;15;85;50;15;300;51
12:00;3.9;30;22;86;62;16;670;55
13:00;4.7;29;21;74;50;11;790;46
14:00;4.7;20;22;46;34;4;460;26
15:00;4.7;18;15;49;37;2;520;21
16:00;4.7;26;18;59;45;3;560;29
17:00;4.7;23;15;61;45;2;560;26
18:00;3.9;21;16;57;44;2;580;24
19:00;3.1;22;15;60;46;3;370;26
20:00;4.7;25;14;74;56;5;470;32
21:00;4.7;24;14;74;56;5;430;30
22:00;4.7;24;12;70;54;5;370;31
23:00;4.7;26;9;76;57;6;420;35
