CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.2;64;13;83;1340;189
01:00;5.3;59;9;32;850;107
02:00;3.1;53;9;18;630;79
03:00;2.6;50;7;9;520;61
04:00;1.7;52;7;7;470;60
05:00;1;56;7;29;640;99
06:00;1.5;57;13;42;920;120
07:00;2.6;54;15;33;910;102
08:00;2.6;47;19;19;750;75
09:00;1.7;41;29;17;670;65
10:00;1;42;55;15;480;64
11:00;0.6;;;;;
12:00;0;25;26;7;270;33
13:00;0;23;27;7;320;32
14:00;0;18;25;3;;21
15:00;0;18;14;4;270;22
16:00;0;21;18;4;340;25
17:00;0;23;16;2;300;25
18:00;0;20;17;2;310;20
19:00;0;47;16;4;650;51
20:00;1.5;72;18;22;1000;103
21:00;2.6;100;9;40;1090;159
22:00;3.1;100;8;119;1340;280
23:00;3.6;79;13;108;1580;243
