CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;8.1;40;3;65;1340;139
01:00;9.4;35;4;67;1670;138
02:00;;15;3;3;280;20
03:00;;20;3;8;280;32
04:00;;23;3;5;290;29
05:00;;23;3;5;260;30
06:00;;27;2;9;330;40
07:00;;26;2;20;470;55
08:00;;56;3;88;1020;190
09:00;;63;4;93;980;205
10:00;;60;6;66;760;160
11:00;;53;9;46;570;123
12:00;;33;22;23;320;67
13:00;1.6;24;12;13;320;44
14:00;0.8;24;15;13;330;44
15:00;0.8;22;14;12;320;41
16:00;0.9;35;20;20;410;66
17:00;1.3;43;22;19;410;71
18:00;1.3;50;9;17;490;76
19:00;1.9;64;8;25;;103
20:00;2.2;59;8;17;590;85
21:00;2.6;61;8;32;760;110
22:00;4.1;54;4;74;1050;167
23:00;6.2;47;4;92;1340;186
