CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;48;4;28;1590;90
01:00;42;3;16;860;66
02:00;23;2;14;360;45
03:00;21;2;27;280;63
04:00;16;1;11;280;33
05:00;13;2;15;280;35
06:00;9;1;11;330;26
07:00;18;1;27;310;59
08:00;32;3;35;520;86
09:00;;;;;
10:00;11;2;2;230;14
11:00;10;4;2;190;12
12:00;8;5;1;140;10
13:00;12;10;1;160;14
14:00;14;11;1;230;16
15:00;11;9;1;230;13
16:00;11;8;1;230;12
17:00;11;8;1;190;12
18:00;9;2;1;140;9
19:00;9;3;0;140;9
20:00;11;3;0;160;12
21:00;21;2;1;210;22
22:00;32;2;5;340;40
23:00;69;3;41;1300;130
