CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;16;4;4;330;21
01:00;8;;2;220;10
02:00;6;;1;220;8
03:00;6;6;1;210;8
04:00;6;4;1;190;8
05:00;12;3;3;260;16
06:00;11;3;5;340;18
07:00;18;2;13;400;38
08:00;21;3;10;400;36
09:00;21;2;13;420;40
10:00;17;2;10;430;32
11:00;15;2;9;360;29
12:00;15;2;8;270;27
13:00;17;2;8;260;29
14:00;20;3;10;250;35
15:00;24;2;13;310;44
16:00;27;3;12;330;45
17:00;34;5;15;430;56
18:00;39;5;19;440;69
19:00;31;4;12;370;48
20:00;28;4;9;330;42
21:00;22;5;5;330;30
22:00;21;4;6;350;30
23:00;20;4;6;360;28
