CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.8;24;6;7;410;36
01:00;12.6;29;1;16;460;53
02:00;5.4;20;2;3;420;25
03:00;4.5;13;3;7;280;24
04:00;3.9;18;3;4;350;23
05:00;3.6;25;3;15;400;47
06:00;3.9;24;3;9;360;37
07:00;3.7;22;3;16;400;46
08:00;3;24;4;21;370;56
09:00;3;31;3;34;;83
10:00;3.9;26;5;28;430;69
11:00;3.8;;6;;;
12:00;;;;;;
13:00;4;32;10;31;710;79
14:00;4.7;31;11;32;580;79
15:00;4.7;30;5;39;640;90
16:00;4.8;31;4;35;610;84
17:00;4.4;29;3;33;590;79
18:00;4.1;29;3;26;550;69
19:00;3.6;26;5;17;470;51
20:00;3.8;28;6;18;480;56
21:00;3.9;28;7;15;490;51
22:00;4;29;6;20;610;59
23:00;4.5;29;8;14;500;50
