CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;0.8;17;2;12;8;4;22
01:00;0.4;13;2;13;8;2;15
02:00;9;42;2;113;82;39;101
03:00;6.3;37;2;106;81;33;87
04:00;5.6;34;2;108;84;32;82
05:00;5;34;1;103;78;32;81
06:00;5.3;32;3;108;81;43;97
07:00;5.6;31;3;107;74;98;181
08:00;5.8;35;4;128;81;151;266
09:00;7.3;48;5;135;85;112;220
10:00;18;53;15;168;78;39;111
11:00;23;28;13;80;36;9;41
12:00;1.9;21;6;55;33;6;28
13:00;1.3;18;6;44;26;3;23
14:00;0.9;16;5;38;23;2;19
15:00;0.8;14;4;34;16;2;16
16:00;0.4;15;3;19;11;3;18
17:00;0.8;17;2;11;6;3;20
18:00;0.9;16;2;14;5;2;19
19:00;1.1;28;3;33;19;3;32
20:00;2.2;39;2;50;39;5;46
21:00;5.4;49;3;49;39;9;63
22:00;1.5;21;3;17;13;4;27
23:00;0.9;20;3;13;10;4;27
