CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;45;2;88;180
01:00;39;1;47;110
02:00;;1;;
03:00;;1;;
04:00;;1;;
05:00;;1;;
06:00;;2;;
07:00;;2;;
08:00;;1;;
09:00;;1;;
10:00;;3;;
11:00;42;4;16;66
12:00;38;8;10;54
13:00;33;12;7;44
14:00;29;8;5;36
15:00;32;9;6;41
16:00;41;11;7;51
17:00;57;15;11;73
18:00;80;18;21;111
19:00;76;7;31;123
20:00;51;2;57;139
21:00;68;2;161;314
22:00;50;2;145;272
23:00;44;2;144;263
