CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;73;17;234;88;1890;208
01:00;58;26;164;23;1230;93
02:00;52;22;155;29;1220;97
03:00;50;21;158;29;;95
04:00;48;25;165;7;1190;59
05:00;48;26;147;7;1200;58
06:00;51;26;168;22;1400;85
07:00;51;25;170;42;1520;116
08:00;49;24;151;39;1460;109
09:00;55;27;158;42;1460;120
10:00;49;33;139;31;1130;98
11:00;43;34;134;24;930;79
12:00;41;32;97;15;680;65
13:00;37;21;56;14;690;58
14:00;37;19;51;12;650;57
15:00;39;21;73;16;660;64
16:00;36;18;59;15;630;60
17:00;47;17;51;16;670;72
18:00;85;17;84;62;1140;181
19:00;96;17;127;134;1820;300
20:00;95;16;198;181;1940;372
21:00;93;20;257;144;2280;315
22:00;84;19;225;135;2120;291
23:00;75;19;234;127;2160;269
