CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7;37;5;129;90;49;1300;111
01:00;6.3;44;9;130;93;18;1150;71
02:00;6.4;43;11;147;106;36;1450;98
03:00;7.3;40;9;167;125;37;1610;97
04:00;8.6;35;6;155;120;39;1550;95
05:00;8.6;27;4;152;120;26;1480;67
06:00;7.2;25;3;154;119;48;1460;98
07:00;7;29;5;140;104;98;1510;177
08:00;6.4;28;5;136;103;73;1380;139
09:00;6.9;34;12;130;100;47;1460;106
10:00;6.5;33;20;122;92;20;1100;64
11:00;5.9;23;16;126;90;7;910;34
12:00;19.6;11;16;71;54;1;440;12
13:00;3.9;12;14;83;64;1;510;13
14:00;2.1;16;15;88;65;2;;18
15:00;3.9;17;17;78;58;2;660;19
16:00;4;13;14;65;47;0;810;14
17:00;2.8;13;13;58;39;1;330;14
18:00;2.8;13;6;42;31;0;280;13
19:00;1.1;17;6;53;38;0;360;17
20:00;2.4;32;11;131;73;1;1040;33
21:00;25.2;55;20;159;102;10;1690;70
22:00;24.3;49;11;103;69;49;1230;124
23:00;7.6;43;6;111;79;43;1200;109
