CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;12.9;51;6;86;38;1310;109
01:00;8;44;7;72;31;1090;90
02:00;5.7;50;10;86;26;990;88
03:00;8.8;42;6;97;13;620;61
04:00;3;41;6;46;16;710;65
05:00;5.1;38;6;69;85;1050;168
06:00;9.7;35;5;72;48;930;107
07:00;8.8;42;8;59;41;770;103
08:00;8.4;47;16;144;27;1000;86
09:00;18.6;35;11;167;12;550;53
10:00;4.3;16;9;61;4;370;21
11:00;0.5;8;7;28;2;320;10
12:00;0.5;6;7;28;2;;8
13:00;0;9;14;39;2;300;12
14:00;0;12;12;34;3;320;15
15:00;0;10;11;24;2;350;12
16:00;0.5;24;29;34;3;500;29
17:00;1;19;16;28;2;640;22
18:00;1.6;24;16;30;2;630;26
19:00;2.5;22;9;23;2;540;25
20:00;1;21;7;20;0;420;22
21:00;0.5;41;8;22;0;510;41
22:00;1.5;68;9;60;27;770;108
23:00;3.3;68;8;88;50;1410;144
