CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;17.7;25;8;253;165;2510;277
01:00;12.5;23;9;203;167;2650;279
02:00;10.1;19;7;156;99;2120;170
03:00;8.7;21;7;111;58;1410;110
04:00;5.8;20;6;108;46;1390;92
05:00;5.1;23;6;111;94;1710;167
06:00;4.8;39;7;118;124;1660;228
07:00;5.3;40;6;107;29;560;84
08:00;1.2;35;8;49;20;590;66
09:00;0.7;50;9;52;45;920;120
10:00;1.3;33;8;60;16;640;57
11:00;0.6;18;6;30;9;410;32
12:00;0.4;17;4;25;6;370;26
13:00;0.4;15;3;17;5;360;22
14:00;0.4;31;2;19;11;490;48
15:00;0.8;56;5;25;50;900;134
16:00;2.1;76;7;98;224;2630;419
17:00;6.7;77;10;158;277;3120;500
18:00;9.7;79;12;209;430;4300;735
19:00;16.2;67;14;304;475;4480;793
20:00;18.5;56;12;329;368;3680;619
21:00;16.5;44;11;279;366;3740;603
22:00;16.7;38;10;260;331;;544
23:00;15.5;28;9;268;276;3410;450
