CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;98;64;760
01:00;81;51;430
02:00;68;43;
03:00;66;43;330
04:00;62;41;310
05:00;61;41;310
06:00;60;39;400
07:00;59;37;420
08:00;59;35;490
09:00;56;32;540
10:00;53;27;430
11:00;41;18;360
12:00;24;10;320
13:00;32;12;350
14:00;40;17;290
15:00;28;14;290
16:00;50;23;540
17:00;48;20;360
18:00;29;15;340
19:00;37;17;420
20:00;76;40;580
21:00;62;35;470
22:00;;;670
23:00;105;69;780
