CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;27;1;24;18;8;370;40
01:00;20;1;25;19;5;300;26
02:00;14;4;21;16;2;270;16
03:00;15;2;21;17;1;270;16
04:00;12;2;22;17;2;270;15
05:00;13;2;22;19;2;270;16
06:00;29;2;17;14;12;360;46
07:00;35;3;21;18;23;430;70
08:00;36;3;22;20;25;410;73
09:00;33;2;19;17;22;400;66
10:00;25;2;11;9;11;390;41
11:00;30;2;15;12;14;390;52
12:00;23;2;11;10;10;330;38
13:00;22;1;12;9;8;310;33
14:00;23;2;10;9;11;310;39
15:00;29;1;11;9;14;340;51
16:00;25;3;15;9;12;360;43
17:00;24;2;17;10;9;320;38
18:00;38;2;18;13;19;420;66
19:00;35;1;15;11;12;440;53
20:00;41;2;20;16;18;500;67
21:00;43;3;18;15;21;490;75
22:00;45;1;18;13;19;500;74
23:00;38;1;21;15;17;440;63
