CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;17;3;56;40;53;98
01:00;13;3;65;48;63;109
02:00;36;3;31;21;16;60
03:00;30;4;33;22;8;42
04:00;25;4;31;21;16;49
05:00;14;3;35;23;15;37
06:00;12;2;33;21;19;41
07:00;14;2;39;24;31;61
08:00;33;4;33;20;53;114
09:00;33;5;33;20;37;90
10:00;27;6;19;11;20;58
11:00;21;5;14;6;14;42
12:00;17;6;11;5;10;32
13:00;15;6;9;4;8;27
14:00;16;6;8;4;8;30
15:00;18;10;10;4;9;32
16:00;14;5;8;3;6;22
17:00;15;5;7;3;5;24
18:00;21;5;9;4;8;33
19:00;28;3;11;5;9;41
20:00;;;33;21;;
21:00;20;3;40;26;5;28
22:00;26;3;38;25;13;46
23:00;24;2;44;30;47;95
