CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;14.7;17;3;73;1220;128
01:00;11.3;13;3;53;1410;94
02:00;9.7;10;2;44;;77
03:00;6.6;9;2;34;910;60
04:00;5.4;5;2;31;890;53
05:00;5;6;2;30;770;52
06:00;4.9;7;2;39;960;67
07:00;6.1;10;2;56;830;96
08:00;4.6;14;3;75;780;128
09:00;6;23;2;77;810;140
10:00;9.8;26;3;78;820;145
11:00;5.4;28;4;40;720;88
12:00;11.8;32;12;18;760;58
13:00;4;17;7;6;230;26
14:00;1.2;12;7;3;210;16
15:00;1.4;9;5;2;220;12
16:00;0.7;9;4;2;200;12
17:00;0.8;12;4;3;320;15
18:00;1.7;19;5;3;340;23
19:00;1.7;;;;;
20:00;1.9;22;1;3;240;26
21:00;2.9;27;2;4;490;33
22:00;5.5;28;3;63;1270;124
23:00;13.6;22;2;73;1380;133
