CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;34;2;41;26;28;700;75
01:00;17;2;42;25;1;190;19
02:00;17;2;8;4;1;160;18
03:00;10;1;4;4;1;170;10
04:00;8;1;4;4;1;190;9
05:00;9;1;6;4;1;200;9
06:00;19;2;13;6;7;350;29
07:00;40;1;15;8;22;450;73
08:00;43;1;19;11;34;560;93
09:00;27;2;14;6;13;320;45
10:00;21;2;15;7;9;390;34
11:00;19;3;17;8;7;;29
12:00;16;6;16;8;5;560;22
13:00;20;3;14;5;6;700;27
14:00;21;1;;;7;;31
15:00;17;2;13;4;4;630;21
16:00;11;1;14;5;1;500;12
17:00;21;1;14;4;3;620;26
18:00;17;2;15;5;2;510;20
19:00;26;1;14;4;3;570;30
20:00;14;2;24;13;1;490;15
21:00;20;1;44;25;19;550;44
22:00;29;2;60;37;44;620;95
23:00;29;2;55;33;46;690;99
