CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.2;47;4;20;520;78
01:00;1.3;36;4;9;360;48
02:00;2.8;26;4;21;610;59
03:00;2.5;22;3;20;510;52
04:00;2.5;16;3;15;460;39
05:00;2.5;15;4;23;490;49
06:00;2.5;14;1;18;420;41
07:00;2.2;26;3;21;460;59
08:00;1.3;19;2;10;380;34
09:00;0.7;15;3;7;330;25
10:00;0.5;17;3;5;350;25
11:00;0.5;16;3;5;230;24
12:00;0.5;17;3;6;230;25
13:00;0.5;17;4;6;200;26
14:00;0.5;15;2;6;230;23
15:00;0.5;15;4;3;220;20
16:00;0.5;14;4;2;220;17
17:00;0.5;16;4;3;260;21
18:00;0.5;20;3;3;270;25
19:00;0.5;24;3;3;290;30
20:00;0.5;31;4;6;260;39
21:00;1.1;45;4;4;330;52
22:00;1.3;55;3;22;640;89
23:00;2.2;66;4;58;;156
