CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;4;5;650;48
01:00;44;3;5;670;51
02:00;43;4;6;780;50
03:00;32;4;3;660;36
04:00;30;5;4;630;36
05:00;29;5;3;660;33
06:00;49;5;31;790;96
07:00;58;5;53;1030;138
08:00;51;4;86;1260;183
09:00;67;5;104;1230;225
10:00;71;4;98;1220;219
11:00;63;5;74;1100;176
12:00;41;11;19;680;69
13:00;38;14;12;510;56
14:00;35;10;8;420;47
15:00;33;8;8;430;45
16:00;36;6;8;470;48
17:00;45;6;10;430;60
18:00;57;5;11;500;73
19:00;92;5;21;;123
20:00;82;4;30;1570;128
21:00;75;3;64;1160;171
22:00;64;2;45;1080;132
23:00;67;2;22;890;99
