CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;26;9;48;1;480;28
01:00;68;11;114;6;1230;78
02:00;11;6;32;0;300;10
03:00;12;6;32;1;290;12
04:00;17;6;26;1;310;19
05:00;15;5;32;1;270;16
06:00;17;5;33;1;320;18
07:00;18;5;11;2;310;20
08:00;24;6;25;3;550;29
09:00;27;9;63;6;640;36
10:00;21;18;64;5;650;29
11:00;14;18;48;4;570;19
12:00;13;14;34;3;490;18
13:00;15;10;35;3;560;20
14:00;11;10;44;2;530;14
15:00;8;7;45;2;320;11
16:00;12;7;30;2;480;16
17:00;16;8;34;1;560;18
18:00;17;8;58;2;;20
19:00;25;8;43;2;590;28
20:00;15;8;67;1;400;17
21:00;22;10;63;1;380;24
22:00;34;10;49;1;510;36
23:00;19;9;82;1;210;20
