CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.7;30;4;81;47;14;700;52
01:00;2.5;13;4;36;18;1;200;14
02:00;0.4;10;4;10;4;1;180;12
03:00;0.4;11;4;12;7;2;200;13
04:00;0.4;12;4;14;7;2;220;15
05:00;0.4;13;4;22;14;3;230;16
06:00;0.4;18;4;28;19;5;190;25
07:00;0.4;25;4;26;18;7;250;36
08:00;0.4;27;5;31;20;8;360;39
09:00;0.4;21;4;22;13;8;290;32
10:00;0.4;22;5;10;5;9;260;36
11:00;0.4;25;4;8;3;13;300;45
12:00;0.4;26;3;13;7;14;300;47
13:00;0.4;28;4;22;13;16;340;52
14:00;0.4;26;4;30;15;13;350;46
15:00;0.4;23;7;27;14;12;250;41
16:00;0.4;21;7;27;15;10;320;36
17:00;0.4;18;7;27;14;7;270;28
18:00;0.4;13;6;28;15;2;;16
19:00;0.4;18;9;29;16;3;250;23
20:00;0.4;21;9;36;19;2;290;25
21:00;0.4;18;6;54;33;2;440;20
22:00;1.4;26;5;74;46;6;590;35
23:00;3.4;32;5;105;70;10;590;46
