CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;27;7;64;52;6;490;36
01:00;28;24;352;286;170;2610;287
02:00;27;21;311;280;136;2440;235
03:00;24;19;308;258;101;2350;178
04:00;23;20;229;212;85;1910;152
05:00;27;16;181;163;48;1210;100
06:00;31;13;160;140;44;750;97
07:00;30;13;235;172;46;780;100
08:00;31;11;193;145;47;630;102
09:00;33;10;137;107;49;550;108
10:00;30;9;111;95;17;480;55
11:00;26;9;65;53;8;320;37
12:00;24;8;46;39;5;230;32
13:00;29;11;55;44;7;200;39
14:00;29;14;64;48;7;220;39
15:00;29;13;61;40;7;;38
16:00;31;9;51;37;11;250;47
17:00;31;10;48;38;6;240;40
18:00;30;11;53;43;5;210;37
19:00;23;10;48;42;3;190;28
20:00;25;8;50;43;6;240;33
21:00;24;8;52;44;3;220;28
22:00;21;7;47;41;2;320;24
23:00;18;6;39;34;2;230;21
