CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.2;21;2;7;170;32
01:00;0.6;10;2;2;260;12
02:00;0.4;4;2;1;180;5
03:00;0.4;3;1;0;180;4
04:00;0.4;3;1;1;190;4
05:00;0.4;4;2;1;190;5
06:00;0.4;7;1;1;200;8
07:00;0.4;11;1;4;250;17
08:00;0.4;10;1;3;230;15
09:00;0.4;13;1;3;260;17
10:00;0.4;12;2;4;220;17
11:00;0.4;13;1;4;250;18
12:00;0.4;13;1;4;220;19
13:00;0.4;12;2;4;180;18
14:00;0.4;;;;;
15:00;0.4;;;;;
16:00;0.4;14;1;4;190;20
17:00;0.4;11;1;3;190;15
18:00;0.4;16;1;5;250;23
19:00;0.4;27;1;10;360;42
20:00;1.3;43;1;15;530;64
21:00;1.9;59;2;26;670;98
22:00;1.9;53;2;19;590;82
23:00;1.6;37;1;10;400;51
