CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;38;29;910;82
01:00;25;4;590;30
02:00;32;30;730;78
03:00;31;27;610;72
04:00;31;14;670;52
05:00;33;17;720;59
06:00;31;45;690;100
07:00;28;43;770;93
08:00;43;42;900;107
09:00;53;47;920;124
10:00;50;34;780;102
11:00;43;23;460;78
12:00;28;11;310;45
13:00;27;11;250;43
14:00;29;8;280;41
15:00;26;6;290;34
16:00;30;7;320;41
17:00;31;6;350;39
18:00;31;5;330;38
19:00;30;3;550;34
20:00;38;5;1220;46
21:00;53;41;1640;114
22:00;51;50;1440;127
23:00;42;63;1280;138
