CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;55;5;77;7;680;66
01:00;4.5;47;4;80;7;540;57
02:00;1.5;27;4;48;1;420;29
03:00;2;17;4;51;1;300;18
04:00;0.5;15;4;29;1;250;16
05:00;0;18;4;31;4;290;24
06:00;0;28;4;41;13;400;47
07:00;1;46;4;51;15;570;69
08:00;3.4;58;4;130;18;830;86
09:00;6.6;53;12;128;14;520;75
10:00;1.7;;;72;;;
11:00;1;25;13;64;2;;29
12:00;0.1;13;15;49;1;270;15
13:00;0;28;12;47;3;390;33
14:00;0;44;8;41;5;540;51
15:00;0.5;34;8;54;5;470;42
16:00;0;31;12;50;4;370;37
17:00;0;33;15;23;5;320;40
18:00;0;45;20;45;4;390;52
19:00;0.5;60;15;53;3;620;64
20:00;1.4;58;9;93;6;710;68
21:00;2;68;6;91;4;760;74
22:00;3.4;74;6;105;17;990;100
23:00;5.9;73;5;103;11;900;91
