CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;3;59;1050;137
01:00;38;4;23;840;72
02:00;35;2;36;910;87
03:00;32;3;21;760;63
04:00;28;2;22;710;60
05:00;26;2;16;690;48
06:00;23;2;28;830;66
07:00;23;3;60;1050;115
08:00;25;3;87;1170;157
09:00;35;3;91;1370;172
10:00;59;4;88;1220;193
11:00;51;4;51;970;128
12:00;30;13;17;720;56
13:00;28;5;11;680;45
14:00;23;7;9;610;37
15:00;31;16;13;630;51
16:00;44;;22;460;76
17:00;37;6;15;;60
18:00;53;12;19;500;81
19:00;74;5;30;760;120
20:00;59;4;35;1060;112
21:00;62;5;62;1090;155
22:00;62;4;66;1100;161
23:00;49;4;51;1140;126
