CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.9;15;51;39;400
01:00;3.4;18;60;49;620
02:00;3.2;16;67;54;590
03:00;2.9;13;55;45;490
04:00;2.6;12;44;35;450
05:00;2.5;11;41;32;450
06:00;2.3;12;46;33;540
07:00;2.3;12;43;33;500
08:00;1.9;10;40;31;450
09:00;1.9;10;41;31;420
10:00;1.9;10;37;28;390
11:00;1.6;11;36;28;390
12:00;1.6;10;33;25;370
13:00;1.6;10;36;28;380
14:00;1.6;10;;29;380
15:00;1.6;11;;33;390
16:00;1.6;13;44;34;390
17:00;1.6;14;48;37;380
18:00;1.6;13;56;43;410
19:00;1.8;13;58;45;410
20:00;1.9;12;64;51;440
21:00;1.9;13;64;50;450
22:00;1.9;14;57;44;430
23:00;1.9;13;57;45;430
