CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;36;3;17;5;430;40
01:00;0.6;33;4;9;3;470;36
02:00;0;17;5;36;3;350;20
03:00;0;18;7;22;2;320;20
04:00;0;22;6;15;5;380;27
05:00;0;33;5;29;9;570;45
06:00;0.5;56;4;16;30;870;100
07:00;;62;7;14;36;930;116
08:00;;51;6;16;23;660;84
09:00;;50;5;20;19;500;77
10:00;;43;5;;17;420;67
11:00;;26;6;;12;340;43
12:00;;28;7;16;10;250;42
13:00;;30;6;15;12;360;47
14:00;;29;9;19;11;;45
15:00;1;27;8;25;10;380;41
16:00;0.6;29;6;26;10;350;42
17:00;0.6;29;6;22;8;390;39
18:00;1.4;28;6;15;7;300;37
19:00;0;37;11;21;9;360;50
20:00;0;25;6;25;3;290;28
21:00;0;31;5;28;4;330;36
22:00;0.1;50;4;32;13;500;69
23:00;1;43;3;22;5;460;49
