CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;29;3;30;17;9;42
01:00;29;2;24;14;8;39
02:00;37;2;38;23;5;44
03:00;24;2;34;22;2;27
04:00;22;2;31;20;1;23
05:00;21;2;30;18;1;23
06:00;29;2;40;26;10;43
07:00;30;2;37;23;19;59
08:00;46;3;32;14;25;83
09:00;53;3;31;9;14;74
10:00;36;3;25;5;8;46
11:00;46;22;21;4;10;61
12:00;32;13;11;3;5;39
13:00;33;16;7;3;5;40
14:00;26;6;6;3;4;30
15:00;31;13;5;3;4;36
16:00;28;7;4;3;3;33
17:00;25;4;23;5;1;26
18:00;48;3;17;5;10;62
19:00;35;2;13;5;3;39
20:00;41;3;13;6;5;48
21:00;48;3;16;7;7;57
22:00;40;2;37;23;12;57
23:00;46;2;27;16;16;70
