CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;17;2;20;1;;19
01:00;19;2;10;1;320;22
02:00;23;5;46;7;400;33
03:00;21;5;66;10;410;37
04:00;20;3;45;27;450;60
05:00;17;3;42;15;380;40
06:00;24;3;44;46;610;95
07:00;48;3;64;33;520;98
08:00;44;3;43;27;410;85
09:00;44;3;;25;420;82
10:00;45;3;90;17;380;71
11:00;39;2;59;15;390;62
12:00;35;6;41;13;360;55
13:00;20;24;35;5;260;28
14:00;16;15;12;5;290;23
15:00;17;10;15;4;270;24
16:00;13;7;15;3;260;18
17:00;15;4;7;2;260;19
18:00;24;5;20;2;310;28
19:00;32;3;26;4;430;38
20:00;36;3;29;3;440;41
21:00;27;2;23;2;320;31
22:00;23;3;16;1;310;25
23:00;25;2;28;2;320;28
