CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.7;15;24;53;37;1;920;17
01:00;5.8;24;10;187;140;58;2070;113
02:00;6.7;23;10;176;133;47;2250;95
03:00;7;21;11;166;126;41;2030;83
04:00;5.9;18;10;154;116;35;1830;71
05:00;5.4;16;9;168;116;41;1670;79
06:00;5.2;22;10;191;119;24;1650;58
07:00;5.1;22;11;120;88;16;1460;45
08:00;4.7;21;11;91;54;6;1200;31
09:00;3.9;18;13;86;47;6;1190;28
10:00;3.9;19;13;67;37;7;910;30
11:00;3.9;14;13;63;40;5;760;21
12:00;3.9;13;16;58;40;5;760;19
13:00;2.8;12;16;38;29;3;670;17
14:00;2.3;11;15;39;30;2;530;14
15:00;2.6;11;15;41;31;2;550;14
16:00;2.8;14;14;43;32;2;610;17
17:00;3.7;14;13;51;39;3;620;18
18:00;3.5;15;12;51;38;2;500;17
19:00;3.6;20;13;57;43;4;490;26
20:00;3.6;24;22;60;43;3;590;28
21:00;3.2;17;19;47;35;1;410;19
22:00;3.1;10;18;44;31;1;390;12
23:00;3.6;19;20;51;36;1;580;21
