CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;36;2;3;520;40
01:00;1;25;3;1;470;27
02:00;0;6;2;1;250;8
03:00;0;7;2;1;250;8
04:00;0;16;1;1;300;18
05:00;1;23;3;7;400;34
06:00;1;25;3;6;410;35
07:00;0.5;28;3;8;450;39
08:00;1;25;3;8;480;38
09:00;1;19;8;5;520;26
10:00;2.6;12;7;3;330;17
11:00;1;18;12;6;470;27
12:00;2.1;9;5;3;240;12
13:00;0.1;8;7;1;220;10
14:00;0;23;18;4;;28
15:00;2.5;22;16;2;690;25
16:00;3.2;7;3;1;360;9
17:00;0.1;6;3;1;320;8
18:00;0;10;3;1;330;12
19:00;0;35;13;3;620;39
20:00;1.5;32;3;3;540;36
21:00;1;27;4;1;510;29
22:00;2.1;58;3;14;700;80
23:00;1;41;1;3;520;46
