CZAS;Benzen;Dwutlenek siarki;Tlenek węgla
00:00;11.7;16;1310
01:00;10.5;16;1350
02:00;7.1;4;1050
03:00;4;3;720
04:00;3.3;4;
05:00;3;5;510
06:00;7;8;750
07:00;6.8;10;830
08:00;4.5;6;780
09:00;6.8;8;910
10:00;7.2;8;940
11:00;7.6;8;1030
12:00;;7;1090
13:00;;20;1630
14:00;;13;1800
15:00;;11;1420
16:00;;6;1160
17:00;;7;1020
18:00;;8;1030
19:00;;7;1240
20:00;;9;1380
21:00;;11;1370
22:00;;13;1410
23:00;;12;1560
