CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;23;5;33;23;2;500;25
01:00;16;5;26;18;2;460;18
02:00;23;2;26;20;2;570;25
03:00;20;3;26;19;2;550;22
04:00;17;3;23;17;2;550;19
05:00;18;3;21;16;3;530;23
06:00;36;2;25;18;12;630;54
07:00;45;3;26;19;20;750;75
08:00;40;3;17;13;18;700;67
09:00;40;3;6;3;18;670;68
10:00;33;3;6;4;13;530;52
11:00;33;3;6;3;12;540;50
12:00;37;4;18;13;13;690;56
13:00;41;5;20;14;16;650;63
14:00;42;5;21;14;21;600;74
15:00;41;5;28;20;16;580;65
16:00;39;7;43;33;18;670;66
17:00;43;7;46;36;16;610;68
18:00;38;6;48;36;13;540;56
19:00;38;3;49;39;11;540;54
20:00;43;4;59;48;12;660;60
21:00;23;7;26;18;4;430;28
22:00;21;5;27;18;4;430;26
23:00;26;5;31;20;5;560;33
