CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;6;36;27;490
01:00;6;31;25;460
02:00;4;143;129;1560
03:00;4;152;133;1940
04:00;4;142;126;1850
05:00;3;138;124;1750
06:00;4;156;132;1950
07:00;4;160;132;2310
08:00;7;150;120;1870
09:00;16;86;67;950
10:00;13;58;42;660
11:00;10;37;20;420
12:00;6;20;10;290
13:00;4;20;9;290
14:00;4;;;270
15:00;3;;;300
16:00;4;;;340
17:00;14;23;10;340
18:00;16;47;25;400
19:00;10;63;30;540
20:00;9;50;31;530
21:00;8;114;47;720
22:00;10;80;45;650
23:00;7;55;34;530
