CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;7.0644;20.3649;4.37348;103.448;73.8456;63.9462;1516.41;1049.75;118.456
01:00;4.69166;14.2954;4.37718;97.3837;69.4652;46.8539;1374.42;1170.9;86.1674
02:00;4.65287;16.6388;4.43555;99.3529;71.4795;33.7333;1127;1209.2;68.3772
03:00;3.5081;17.3552;4.30551;81.182;58.9262;18.8813;926.052;1226.64;46.3169
04:00;2.60004;21.7737;4.47102;57.8011;42.0566;28.9952;781.123;1192.74;66.2578
05:00;2.44504;14.4745;4.48727;62.8189;45.7725;24.4835;736.801;1149.25;52.0394
06:00;2.07758;14.6594;3.77424;61.4696;44.6976;40.161;728.51;1095.82;76.2617
07:00;2.27712;13.4665;4.75623;54.2234;39.3027;65.2853;786.517;997.104;113.616
08:00;2.87208;15.8035;4.76066;48.9551;35.0492;82.4807;808.309;908.592;142.326
09:00;1.436;13.9867;5.36138;28.0765;20.7715;15.6443;289.82;773.017;37.9837
10:00;0.636822;6.02223;6.91304;16.8848;12.4727;1.88228;174.624;653.97;8.90448
11:00;0.907448;6.00469;7.0756;24.6213;11.1027;1.72987;184.633;561.292;8.65261
12:00;0.81184;5.56577;6.27834;12.1362;9.14717;1.43994;170.909;485.015;7.78644
13:00;0.79734;26.3898;15.844;10.5929;8.23305;7.66559;182.122;415.68;38.1516
14:00;0.57838;27.2486;20.9401;8.94436;7.10812;8.28701;195.914;349.106;39.9551
15:00;0.73364;25.2729;17.29;10.1606;7.40486;7.2707;181.015;273.418;36.4161
16:00;0.6044;29.0994;22.0137;8.33853;6.66835;7.36146;188.921;195.995;40.3829
17:00;0.95072;47.7644;13.5483;11.1977;8.0401;11.7887;304.398;197.817;65.8465
18:00;1.01718;53.3557;7.37928;15.2926;10.2621;14.9352;391.343;224.907;76.2538
19:00;1.95972;72.7477;6.63448;19.8543;12.4906;32.7511;550.861;270.685;122.988
20:00;2.92133;61.8584;5.03331;34.5254;22.2214;69.0041;684.483;334.882;167.709
21:00;3.32462;63.67;5.11976;48.1354;32.1543;58.6672;724.646;402.698;153.672
22:00;2.92786;48.7501;5.07469;33.597;23.2174;52.5936;646.928;459.074;129.424
23:00;3.65009;49.1482;4.81756;35.7087;24.6273;52.3252;734.513;528.262;129.421
00:00;2.31074;41.7055;5.0806;38.4492;26.8573;30.7261;651.076;586.031;88.8371
01:00;2.12606;32.6315;4.98159;42.7402;29.7778;38.2635;663.273;630.89;91.3351
