CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.5;20;4;2;560;23
01:00;8.8;20;5;2;570;23
02:00;9.2;8;1;66;960;108
03:00;8.3;6;1;57;850;93
04:00;7.3;7;1;47;770;78
05:00;4.8;11;1;23;730;46
06:00;5.3;23;1;9;600;37
07:00;;20;2;14;980;42
08:00;;20;1;26;1330;59
09:00;;26;5;48;710;98
10:00;;28;5;42;390;92
11:00;;32;6;37;650;89
12:00;;30;12;22;340;63
13:00;;21;13;8;;34
14:00;;12;10;4;;17
15:00;;15;18;6;190;24
16:00;1.2;13;15;3;210;18
17:00;1.8;11;10;2;230;14
18:00;2;15;6;3;;19
19:00;2.4;14;4;2;340;16
20:00;1.7;14;3;1;400;16
21:00;1.6;11;2;1;450;12
22:00;2.3;11;3;1;500;13
23:00;1.9;11;2;1;440;12
