CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;21;2;76;890;136
01:00;18;2;37;620;74
02:00;27;2;39;1130;85
03:00;22;2;16;580;45
04:00;18;2;3;290;21
05:00;29;3;8;400;39
06:00;30;2;11;440;47
07:00;29;2;13;410;47
08:00;14;1;3;210;18
09:00;11;2;2;210;13
10:00;17;3;5;280;24
11:00;16;1;6;240;25
12:00;14;2;4;190;19
13:00;9;2;3;190;11
14:00;6;2;2;150;8
15:00;6;2;1;180;7
16:00;6;2;1;120;8
17:00;15;4;3;140;17
18:00;41;11;12;380;58
19:00;48;6;13;630;67
20:00;40;2;32;1060;88
21:00;40;2;96;;186
22:00;36;2;114;1380;210
23:00;27;3;109;1250;192
