CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;12;4;26;18;1;310;13
01:00;28;10;69;58;2;820;31
02:00;16;8;52;43;2;610;18
03:00;10;5;47;39;1;530;12
04:00;9;6;41;33;1;490;11
05:00;13;5;40;32;2;490;15
06:00;18;5;43;34;3;510;21
07:00;24;5;45;36;4;520;30
08:00;22;5;40;32;4;480;28
09:00;27;5;43;33;7;490;39
10:00;21;6;40;31;5;450;28
11:00;19;5;40;31;4;400;25
12:00;18;5;42;33;5;430;25
13:00;19;5;39;30;5;460;27
14:00;19;5;37;28;5;420;26
15:00;20;4;33;25;5;410;28
16:00;22;3;34;26;5;390;30
17:00;25;3;32;24;5;420;32
18:00;25;3;35;26;3;390;30
19:00;20;3;31;24;2;360;22
20:00;18;3;31;23;2;340;20
21:00;17;2;34;25;1;350;18
22:00;14;3;33;25;1;340;16
23:00;13;3;27;20;1;320;14
