CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;28;3;44;43;3;440;33
01:00;21;3;48;49;3;470;26
02:00;19;3;29;31;3;330;24
03:00;16;4;31;32;4;320;22
04:00;13;3;30;31;2;320;16
05:00;18;2;31;33;3;340;23
06:00;30;3;38;34;10;400;45
07:00;30;3;37;33;14;460;52
08:00;24;5;34;30;10;420;39
09:00;20;7;21;17;6;310;29
10:00;23;10;19;13;7;320;34
11:00;18;15;13;7;4;230;24
12:00;9;8;10;5;2;200;12
13:00;10;5;8;5;2;190;13
14:00;8;4;5;5;1;170;9
15:00;7;4;7;5;1;170;9
16:00;8;4;8;5;1;180;10
17:00;8;4;5;5;1;160;9
18:00;11;9;18;8;1;280;13
19:00;9;5;15;5;1;200;10
20:00;;;18;11;;;
21:00;11;6;20;15;1;250;13
22:00;12;7;25;20;1;270;14
23:00;14;5;32;28;1;320;16
